,utility,eiaid,name,label,enddate,demandrateunit,flatdemandunit,uri,sector,description,source,peakkwcapacitymax,peakkwcapacitymin,peakkwhuseagemax,peakkwhuseagemin,voltagecategory,phasewiring
9598,"Town of Pineville, North Carolina (Utility Company)",15062,Large Commercial,539fbe46ec4f024c27d884df,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe46ec4f024c27d884df,Commercial,,ISU Documentation,,30,,,,
9599,"La Plata Electric Assn, Inc",10539,TOU Large Commercial Lp-30,539fbe46ec4f024c27d884e3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe46ec4f024c27d884e3,Commercial,"Winter: Sept.15 - May 14(on peak:6am-11am and 5pm-10pm,offpeak:11am-5pm,10pm-6am)

Summer: May 15 - Sept.14(onpeak:10am-10pm, offpeak:10pm-10am and all weekend)",http://www.lpea.com/services/rates.html,,,,,,
9601,"City of Henning, Minnesota (Utility Company)",8459,Rate Number 12(ELECT.COMM x 1),539fbe46ec4f024c27d884ed,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe46ec4f024c27d884ed,Commercial,,"Rate Binder #10A, Illinois State University.",,,,,,
9603,"Town of Smithfield, North Carolina (Utility Company)",17451,Commercial service rate - time of use (Three Phase),539fbe46ec4f024c27d884f3,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe46ec4f024c27d884f3,Commercial,"This schedule is available for non-residential electric services. 

Purchase Power Adjustment Charge: The monthly bill may include a purchased power adjustment charge, if any is applicable for the Town to recover wholesale purchased power costs fully.

Minimum Charge: The Minimum Charge shall be the Basic Customer Charge plus $1.00 per kVA of installed transformer capacity, unless provided otherwise by the Service Agreement.

When applicable, North Carolina sales tax will be added to all charges listed above. 

Determination of On-Peak:

1) On Peak demand will be the highest kW demand in any 15-minute interval of the current billing month during the following periods, Monday - Friday: 

2) On-Peak kWh will be the energy used during the following periods, Monday - Friday:

Standard Time 7:00 AM to 9:00 AM; Daylight Savings Time (Mar 11 to Nov 4) 2:00 PM to 6:00 PM.

All hours for Official Town Holidays will be considered as Off-Peak.",http://www.smithfield-nc.com/Pages/Departments/Public%20Utilities/ElectricRates.html,,,,,,
9605,Franklin Electric Coop,6717,Single Phase Rate,539fbe46ec4f024c27d884f9,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe46ec4f024c27d884f9,Commercial,,ISU Documentation,,,,,,
9607,Tri-County Rural Elec Coop Inc,40290,Large Power 2 (LP2),539fbe46ec4f024c27d88503,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe46ec4f024c27d88503,Commercial,* Large power 3 power factor Adj-cng.,Rate binder # 4(Illinios State University),,,,,,
9609,"City of Luray, Kansas (Utility Company)",11306,General Service,539fbe46ec4f024c27d8851d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe46ec4f024c27d8851d,Commercial,,"Rates Binder A
http://www.russellcoks.org/Portals/ks-russell/Luray%20Profile.pdf",,,,,,
9611,"City of Webster City, Iowa (Utility Company)",20259,Commercial General Service Single Phase,539fbe47ec4f024c27d88523,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe47ec4f024c27d88523,Commercial,,http://www.webstercity.com/City_Code/Title_III_Public_Services.pdf,,,,,,
9612,"City of Lompoc, California (Utility Company)",11148,Public benefits Program,539fbe47ec4f024c27d88525,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe47ec4f024c27d88525,Commercial,"Applies to all electric rate schedules.

The revenues collected from this rate schedule shall be placed in a special Public
Benefits Program reserve to be used by the Utility as directed by the City Council in any of
the following Public Benefits Program:
Demand-side Management
Investment in Renewable Energy Resources
Investment in Research, Development and Demonstration programs
Low-income Programs",ISU Documentation,,,,,,
9613,"Village of Enosburg Falls, Vermont (Utility Company)",5915,Large Commercial - Rate 03,539fbe55ec4f024c27d88529,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe55ec4f024c27d88529,Commercial,Applicable to a 6% sales tax.,Illinois State University Archives,,,,,,
9615,"City of Russellville, Alabama (Utility Company)",16458,Large Commercial(GSA-3),539fbe55ec4f024c27d88531,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe55ec4f024c27d88531,Commercial,Applicable for customers who used more than 1000 kw and less than 5000 kw in past 12 months,Rate Binder#4 (Illinois State University),5000,1000,,,,
9617,Elkhorn Rural Public Pwr Dist,5780,"RATE 56,57 Urban Commercial General Service",539fbe55ec4f024c27d8853b,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe55ec4f024c27d8853b,Commercial,"AVAILABLE: In the lease towns of Clearwater, Elgin and Ewing served by the District.
APPLICABLE: To commercial and nonresidential establishments for lighting, heating, and power purposes where all service is taken through a single meter at one location, and where the Customer's peak demand does not exceed 100 KW during any two summer months or 200 KW in any two months of a 12 consecutive month period. However, any commercial Customer with a load factor of at least 250 KWH/KW and either: (1) a demand greater than 50KW, or (2) consumption greater than 15,000 KWH during any three months of a 12 consecutive month period shall have the option of being billed under the General Service Demand Rate.",http://erppd.com/wp-content/uploads/commercial-rate56.pdf,,,,,Secondary,Single Phase
9619,"City of Greenfield, Indiana (Utility Company)",7627,"GENERAL SERVICE (GS), Three-Phase",539fbe55ec4f024c27d88543,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe55ec4f024c27d88543,Commercial,"*If the electric utility places its meters at the primary voltage level, the consumer's demand (kW) and energy (kWh) measurements shall be reduced by 2% for the purposes of this schedule.

**Energy Cost Adjustment (ECA) Tracking Factor - The electric utility will update its Energy Cost Adjustment (ECA) Tracking Factor each calendar quarter based on changes in the costs of purchased power, energy conservation/efficiency programs, payments in lieu of taxes, and other costs specifically approved by the Common Council. The electric utility will prepare separate tracking factors for each rate schedule and, as appropriate, for both the demand and energy charges.
*Purchased Power - Demand: $15.907/kW-month
*Purchased Power - Energy: $0.029216/kWh",http://www.greenfieldin.org/utility-billing,,,,,Secondary,3-Phase
9625,"Village of Minster, Ohio (Utility Company)",12660,Commercial General Service Rate 1 Single Phase,539fbe56ec4f024c27d8856b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe56ec4f024c27d8856b,Commercial,"*Applicable: This rate is available to all commercial and industrial establishments for lighting, heating, cooking and power.
*Subject to kWh tax adjustments and power cost adjustment.",http://www.amlegal.com/nxt/gateway.dll/Ohio/minster_oh/titlevpublicworks/chapter54electricservicerates?f=templates$fn=default.htm$3.0$vid=amlegal:minster_oh,,,,,,
9626,"Village of Tontogany, Ohio (Utility Company)",18944,General Commercial without Demand- In Town,539fbe56ec4f024c27d8856f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbec7ec4f024c27d88a6f,Commercial,,www.tontoganyohio.org/pdf/ordinances/ORD848-14ElectricUtilityRates.pdf,,,,,,
9629,"San Luis Valley R E C, Inc",16603,Single Phase Time of Day Service,539fbe56ec4f024c27d8857f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe56ec4f024c27d8857f,Commercial,,ISU Documentation,,,,,,
9630,"City of Hunnewell, Missouri (Utility Company)",9025,Commercial,539fbe56ec4f024c27d88583,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe56ec4f024c27d88583,Commercial,,Rates Binder A,,,,,,
9631,Northeast Nebraska P P D,13739,Rural Residential,539fbe56ec4f024c27d88585,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe56ec4f024c27d88585,Commercial,Service under this schedule is restricted to residential service only. Service is subject to the District's established rules and regulations. Non-residential loads connected through the same meter may disqualify the residence from being served on this rate. The District's management will review cases of multiple uses on one meter and make a determination about the best rate classification.,http://www.nnppd.com/billing/rates/files/Rural_Residential_2014.pdf,,,,,,Single Phase
9632,PUD No 1 of Pend Oreille Cnty,14653,COMMERCIAL SERVICE 1 Three Phase,539fbe56ec4f024c27d8858f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe56ec4f024c27d8858f,Commercial,"For all commercial, public, three-phase farm and industrial customers with estimated maximum demands of less than 500 kW for all uses, subject to the General Rules and Regulations.",ISU Documentation,500,,,,,3-Phase
9634,"Town of Centerville, Indiana (Utility Company)",3230,City Commercial,539fbe57ec4f024c27d8859f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe57ec4f024c27d8859f,Commercial,Rate is subject to a Tracking Factor. The Factor is adjusted on a quarterly basis.,"Rates Binder 1, Illinois State University",,,,,,
9635,Lake Region Electric Cooperative,10618,Small Commercial,539fbe57ec4f024c27d885a1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe57ec4f024c27d885a1,Commercial,,http://www.lrec.coop/customer-service-center/understanding-my-bill/rates/commercial/,,,,,,
9636,"Alaska Village Elec Coop, Inc",221,Small Commercial: Anvik Village,539fbe57ec4f024c27d885a5,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe57ec4f024c27d885a5,Commercial,"For 1-700 kWh consumed: Rate = ( .30 + Cost of Fuel)
Over 700 kWh consumed: Rate = (.20 + Cost of Fuel)",http://www.avec.org/customer-service.php#rates,,,,,,
9637,Salmon River Electric Coop Inc,16565,Single Phase Commercial (1001-1200 Amperage),539fbe57ec4f024c27d885a7,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe57ec4f024c27d885a7,Commercial,,http://www.srec.org/MembInfo/Rates/spcom.pdf,,,,,,Single Phase
9638,"City of Belleville, Kansas (Utility Company)",1512,Large Business - City and Rural (LBR),539fbe57ec4f024c27d885ad,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe57ec4f024c27d885ad,Commercial,,http://www.cityofbellevillekansas.com/?page_id=142,,,,,,
9639,"Kiamichi Electric Coop, Inc",10170,Commercial Service Single Phase 26-50 kVa,539fbe57ec4f024c27d885af,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6c87ec4f024411ecaaa3,Commercial,"This tariff is available to all commercial consumers of the Cooperative for all uses, subject to its established rules and regulations. Service under this schedule is limited to consumers whose load requirements do not exceed those specified in the Cooperatives Terms and Conditions of Service; consumers requiring outdoor lighting service shall be served under the applicable outdoor lighting service schedule.
  
  
MINIMUM CHARGE:
The minimum monthly charge shall be the Customer Charge, plus $15.00 per month.",http://kiamichielectric.coopwebbuilder.com/sites/kiamichielectric.coopwebbuilder.com/files/cs.pdf,,,,,Secondary,Single Phase
9640,"City of Jewett City, Connecticut (Utility Company)",9734,Rate No. 3 Commercial Service,539fbe57ec4f024c27d885b1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe57ec4f024c27d885b1,Commercial,"All rates subject to the Purchased Power Adjustment (PPA) clause on file.

Demand Charge:
First -- 2 KWs of Demand or less at $40.48
Balance of KWs of Demand at $9.49 per KW",http://www.jewettcitydpu.com/rates.html,,,,,,
9641,"Farmers Electric Company, Ltd",6155,Commercial-Three Phase,539fbe57ec4f024c27d885b5,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe57ec4f024c27d885b5,Commercial,Less than 50kW,Rates Binder A,50,,,,,3-Phase
9642,"Borough of Tarentum, Pennsylvania (Utility Company)",18456,General Power Service(Primary Voltage-1000 volts or greater),539fbe57ec4f024c27d885b7,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe57ec4f024c27d885b7,Commercial,"Applicable for electrical loads over 100 kW. 

A voltage credit of $.2 per kW demand when the service is supplied at 1000 volts or greater.",ISU Documentation Rate Binder Ted #12,,,,,,
9643,"Grundy Electric Coop, Inc",7720,Single Phase Service,539fbe57ec4f024c27d885b9,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe57ec4f024c27d885b9,Commercial,,"Rate Binder Kelly 11, ISU Documentation",,,,,,
9645,M J M Electric Cooperative Inc,8824,C.I.P.S (E. Bartlett K. Schafer L. Muffley),539fbe57ec4f024c27d885cd,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe57ec4f024c27d885cd,Commercial,C.I.P.S (E. Bartlett K. Schafer L. Muffley),Rate Binder #7 (Illinois State University),,,,,,
9647,Lincoln Electric System,11018,Large Power Contract Primary,539fbe58ec4f024c27d885e3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe58ec4f024c27d885e3,Commercial,,http://www.les.com/business/rates/rate-schedules,,4000,,,Primary,3-Phase
9653,"City of Horton, Kansas (Utility Company)",8871,Regular Commercial Rate - Outside City Limits,539fbe66ec4f024c27d88613,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe66ec4f024c27d88613,Commercial,"Available to nonresidential consumers who use less than 250,000 kWh annually.",Ted Binder 2,,,,,,
9654,Empire District Electric Co,5860,Small Commercial Building Service (under 40 KW),539fbe8fec4f024c27d887a3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe8fec4f024c27d887a3,Commercial,This schedule is available to any General Service Customer on the lines of the Company whose electric load is not in excess of 40 kW.,ISU Documentation,40,,,,,
9657,Otter Tail Power Co (South Dakota),14232,General Service Secondary (Rate code 401),539fbe67ec4f024c27d88621,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe67ec4f024c27d88621,Commercial,,https://www.otpco.com/media/103060/SD_1002.pdf,,20,,,Secondary,Single and 3-Phase
9658,Public Serv Comm of Yazoo City,21095,103 Electric- Yazoo Recreation,539fbe67ec4f024c27d88623,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe67ec4f024c27d88623,Commercial,,ISU Documentation,,,,,,
9660,"City of Hope, Arkansas (Utility Company)",8840,Small General Service (w/o Demand Meter),539fbe67ec4f024c27d88627,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe67ec4f024c27d88627,Commercial,"This schedule is available in all territory served by HWL for Small General Service customers. Commercial customers having a connected load of 50 KVA or less, or a maximum billing demand of 50 kW or less during any month of the most recent 12 month period.",http://www.hope-wl.com/electric/small_general.htm,50,,,,,Single and 3-Phase
9661,"Town of Louisburg, North Carolina (Utility Company)",11228,Small General Service Electric Rate Schedule - Single Phase,539fbe67ec4f024c27d88629,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc369ec4f024c27d8bbb1,Commercial,,http://www.townoflouisburg.com/client_resources/small%20comm%20elect%20rate%20eff%20may%202013.pdf,,,,,,Single Phase
9662,"City of Lodi, California (Utility Company)",11124,Group 2 Commercial,539fbe67ec4f024c27d88637,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe67ec4f024c27d88637,Commercial,"This schedule will be applied to accounts with energy consumption in excess of 8,000 kilowatt-hours (kWh) for three consecutive billing cycles. This schedule is not available for service when another commercial/industrial schedule is applicable.


Billing Demand: The billing demand in any billing cycle will be the maximum average power taken during any metering interval in the period, but not less than the diversified resistance welder load. (The customary metering interval is 15 minutes; in cases where the use of energy is intermittent or subject to violent fluctuations, a 5-minute interval may be used.)

Assignment to Schedule: If, in the judgement of the City, an account is expected to have usage over 8,000 kWh per billing cycle, the City has the option of placing the account immediately on this schedule.

When an account billed on this schedule permanently changes the nature of electrical operations to such an extent that the account would in time qualify for another rate schedule, such billing change will be made as soon as practicable after verification of said changes. It shall be the responsibility of the customer to notify the City of any such changes.

If energy consumption drops below 8,000 kWh and remains there for 12 consecutive billing cycles, the City will transfer the account to the appropriate schedule. If the billing demand reaches or exceeds 400 kW for three consecutive billing cycles, the account will be transferred to the appropriate rate schedule as soon as practicable. 

*G1-Non-profit (as defined in Federal Internal Revenue 501 (c) (3)) Industrial/Commercial customers who are currently receiving Federal Community Development Block Grant funds or have received such funds not more than two years before preparation of the current billing cycle charge are eligible for the following discount on Energy and Demand charges:

July 1, 1996 and after: 30%

It is the customer's responsibility to notify the Finance Department of this eligibility.

This discount may not be used in conjunction with any other incentive discount. 

*Adjustment = California Solar Initiative Surcharge",http://lodielectric.com/commercial/rateform.asp?id=11,,,,,,
9669,"City of Butler, Missouri (Utility Company)",2647,Small Commercial,539fbe68ec4f024c27d88669,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe68ec4f024c27d88669,Commercial,To large and small commercial customers for electricity sold,http://mo-butler.civiccities.com/DocumentCenter/View/1017,,,,,,
9670,"City of Bandon, Oregon (Utility Company)",1176,Small Commercial- Three Phase Inside City,539fbe68ec4f024c27d8866d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe68ec4f024c27d8866d,Commercial,,ISU Documentation,,,,,,3-Phase
9672,"City of Starkville, Mississippi (Utility Company)",18006,Commercial (100kW Demand),539fbe68ec4f024c27d88673,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe68ec4f024c27d88673,Commercial,,Rates Binder A,,,,,,
9675,"Farmers Electric Coop, Inc (Texas)",6182,Commercial,539fbe68ec4f024c27d88685,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe68ec4f024c27d88685,Commercial,,"Rate Binder 5, Illinois State University",,,,,,
9676,"Village of Arcadia, Ohio (Utility Company)",282,Rate Code 2 (Non-Residential Service Schedule)-Three Phase,539fbe68ec4f024c27d8868b,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe68ec4f024c27d8868b,Commercial,"This rate is available to any customer of the village of Arcadia Electric Department for service to any commercial location with consumption of less than 3000 kwh per month, where a demand-registering meter is not installed.

(3-Phase Service)",Rate Binder #5B (Illinois State University),,,,,,
9677,Pitt & Greene Elec Member Corp,14857,Large Power Service,539fbe68ec4f024c27d8868d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe68ec4f024c27d8868d,Commercial,"This schedule is applicable to all members of the cooperative, whose monthly demand has exceeded 450 KW for any month during the past 12 months,inclusing the month for which the bill is rendered.",Rate Binder #8 (Illinois State University),,,,,,
9678,"Holston Electric Coop, Inc",8764,Commercial General Power rate 2,539fbe68ec4f024c27d88693,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe68ec4f024c27d88693,Commercial,,http://www.holstonelectric.com/content/rates,,,,,,
9682,Adrian Public Utilities Comm,150,Small Commercial - SC Single-Phase,5612bbeb5457a3ad2435c497,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/5612bbeb5457a3ad2435c497,Commercial,,http://www.adrian.govoffice2.com/vertical/sites/%7BDB78287F-3B53-4AE6-BC06-77A8264801C5%7D/uploads/Utility_Rate_Schedule_Mar_2014%281%29.pdf,15,,,,,Single Phase
9683,"Charles Mix Electric Assn, Inc",3315,Rate Schedule L All Eletric,539fbe69ec4f024c27d886ab,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe69ec4f024c27d886ab,Commercial,"Applicable to rural churches and township halls, subject to the established rules of the seller.",http://www.cme.coop/Member_Services/rates/Schedule_L/index.html,,,,,,
9684,Otter Tail Power Co (North Dakota),14232,Small General Service under 20 KW- Primary Service (Rate 50-405),539fbe69ec4f024c27d886ad,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe69ec4f024c27d886ad,Commercial,,https://www.otpco.com/media/102906/ND_1001.pdf,20,,,,Primary,
9687,"City of Mt Pleasant, Utah (Utility Company)",13037,Commercial-with demand-Within City Limits,539fbe7cec4f024c27d886b9,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe7cec4f024c27d886b9,Commercial,,http://mtpleasantcity.com/residents/utility-rates/,,,,,,
9689,"San Luis Valley R E C, Inc",16603,Three Phase Time of Day,539fbe7cec4f024c27d886c5,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe7cec4f024c27d886c5,Commercial,,ISU Documentation,,,,,,
9690,"P K M Electric Coop, Inc",14178,Single Phase - 100 kva,539fbe7cec4f024c27d886cb,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe7cec4f024c27d886cb,Commercial,"Rate Code 1-Single Phase
100 kVA",http://www.pkmcoop.com/b-rates.html,,,,,,Single Phase
9692,"City of Moultrie, Georgia (Utility Company)",13026,Commercial Electric Rates,539fbe7dec4f024c27d886db,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe7dec4f024c27d886db,Commercial,,Illinois State University,,,,,,
9693,"City of Mt Pleasant, Iowa (Utility Company)",13038,Commercial Demand,539fbe7dec4f024c27d886e1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe7dec4f024c27d886e1,Commercial,,Rates Binder A,,,,,,
9697,"City of Anaheim, California (Utility Company)",590,General Service- Schedule GS-1,539fbe7dec4f024c27d886f5,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe7dec4f024c27d886f5,Commercial,Applicable to single and three phase general service including lighting and power.,http://www.anaheim.net/utilities/ElectricRules/SCHD-GS1.pdf,,,,,,
9698,"City of Monroe, Utah (Utility Company)",12797,Large Commercial- (Active Service),539fbe7dec4f024c27d886fb,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe7dec4f024c27d886fb,Commercial,,ISU Documentation,,,,,,
9700,"City of Grant, Nebraska (Utility Company)",7485,Single-Phase Commercial Rate 40,539fbe7dec4f024c27d88705,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe7dec4f024c27d88705,Commercial,,http://www.midwestecc.com/rates/rate40.cfm,,,,,,
9702,Seward County Rrl Pub Pwr Dist,16954,"Small Commercial, Farm Service",539fbe7dec4f024c27d8870d,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe7dec4f024c27d8870d,Commercial,,Illinois State University Rate Binder #10,,,,,,
9703,"City of Goodland, Kansas (Utility Company)",7374,City,539fbe7eec4f024c27d8871f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe7eec4f024c27d8871f,Commercial,Consumption for city buildings,www.cityofgoodland.org/departments/clerk-finance/clerk-forms/doc/1/raw,,,,,,
9704,"City of Fairhope, Alabama (Utility Company)",6145,Eleemosynary M2,539fbe7eec4f024c27d88727,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe7eec4f024c27d88727,Commercial,"Applicable to churches and nonprofit organizations who receive the majority of their support from charitable contributions.

Subject to Schedule FCA - Fuel Cost Adjustment",http://library.municode.com/index.aspx?clientId=10754,,,,,,
9706,"City of Holdrege, Nebraska (Utility Company)",8717,Commercial Demand,539fbe7eec4f024c27d88731,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe7eec4f024c27d88731,Commercial,"*This rate applies to commercial customers whose monthly usage exceeds 25,000 kWh for any 4 consecutive months or whose demand exceeds 150 kW for 2 consecutive months during the summer period.
*Subject to energy cost adjustment (calculated monthly) and 5% franchise fee.",http://cityofholdrege.org/rates.asp?rid=1,,150,,,,
9707,"Superior Water, Light and Power Co",18336,General Service Time-of-Day EC5,539fbe7eec4f024c27d8873b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe7eec4f024c27d8873b,Commercial,"Service under this rate schedule is mandatory for all customers having demands of 500 kW or greater and who take service at less than nominally l3,800 volts phase to phase. Customers
will not be removed from this rate schedule unless their 15-minute demand remains below 500 kW for 12 consecutive months.",http://www.swlp.com/customer_service/rates/doc/swlp_ratebook.pdf,,500,,,,
9712,"City of Santa Clara, Utah (Utility Company)",16648,Medium Commercial-greater than 10 and equal to 50 kw demand,539fbe7eec4f024c27d88751,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe7eec4f024c27d88751,Commercial,no description is available,http://www.sccity.org/application-for-service/,,,,,,
9714,"Central Rural Electric Cooperative, Inc",3226,Medium Power,539fbe7fec4f024c27d88761,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe7fec4f024c27d88761,Commercial,"Additional Information:
*Available for any type of industrial or medium commercial use, having a minimum demand equal to or in excess of 50 kW and less than 500 kW, taking three-phase service supplied at one point of delivery and measured through one kilowatt-hour meter (unless otherwise specified by contract) and subject to the Term and Conditions of Service of the Cooperative.

*If the Member receives service at primary voltage (7.62 / 13.2 kV or 14.4 / 24.9 kV) a discount will be allowed as follows: (a) A discount of $0.15 per kW of billing demand; (b) A discount of three percent (3%) on net energy charges before adjustment for purchased power costs.",http://www.crec.coop/Portals/2/DownloadDocuments/Current%20CREC%20Rates%20Approved%20May%203_2013_final.pdf,,,,,,
9717,"City of Carmi, Illinois (Utility Company)",3040,Rate E1: Commercial,539fbe7fec4f024c27d8876f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f73e5ec4f024411ed0233,Commercial,"For users outside of  city limits, 10% to be added to the rates.",http://www.sterlingcodifiers.com/codebook/index.php?book_id=832,,,,,,
9718,"Village of Pioneer, Ohio (Utility Company)",15072,Single Phase- In,539fbe7fec4f024c27d88773,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe7fec4f024c27d88773,Commercial,,ISU Documentation Rate Binder Ted #9,,,,,,
9719,"City of Minden, Nebraska (Utility Company)",12626,Commercial Rate,539fbe7fec4f024c27d88779,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe7fec4f024c27d88779,Commercial,,http://mindennebraska.org/ArchiveCenter/ViewFile/Item/594,50,,,,,
9720,Clark County Rural E M C,22822,Small Commericial Multi Phase,539fbe8eec4f024c27d8877f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe8eec4f024c27d8877f,Commercial,,http://www.theremc.com/index.php?pg=48,,,,,,
9726,"City of Slater, Missouri (Utility Company)",17312,Large General Service,563a3d075457a3ad471090ee,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/563a3d075457a3ad471090ee,Commercial,,Illinois State University documentation,,40,,,,Single and 3-Phase
9729,Tombigbee Electric Power Assn,19007,General Power - Commercial GSA-1 (less than 50 KW),539fbe8fec4f024c27d887b1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe8fec4f024c27d887b1,Commercial,,http://www.tombigbeeelectric.com/DepositsRatesFees.asp,50,,,,,
9730,Salmon River Electric Coop Inc,16565,Three Phase (31-90kW),539fbe8fec4f024c27d887b3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe8fec4f024c27d887b3,Commercial,,http://www.srec.org/MembInfo/Rates/3pmedcom.pdf,,,,,,3-Phase
9731,"City of Slater, Missouri (Utility Company)",17312,Small General Service,563a3c785457a37c471090ee,,kW,,http://en.openei.org/apps/USURDB/rate/view/563a3c785457a37c471090ee,Commercial,,Illinois State University documentation,40,,,,,Single and 3-Phase
9733,"City of Nixa, Missouri (Utility Company)",3634,Small Commercial Rate Three Phase,539fbe90ec4f024c27d887dd,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe90ec4f024c27d887dd,Commercial,* Rate is subject to the Fuel Cost Adjustment Rider,http://www.nixa.com/Modules/ShowDocument.aspx?documentid=114,,,,,,
9734,"City of South Haven, Michigan (Utility Company)",17562,Commercial Power Rate,539fbe90ec4f024c27d887df,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7391ec4f024411ecfe31,Commercial,"For all primary metered customers, a rebate of 2% on all kWh usage is available.",http://www.south-haven.com/PDFs/official_documents/Code%20of%20Ordinances.pdf,,15,,,,
9735,"Village of Paw Paw, Michigan (Utility Company)",14581,"General Service  Single Phase ""Rate GS-1""",539fbe90ec4f024c27d887e5,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fbe90ec4f024c27d887e5,Commercial,This rate applies to commercial customers with a single-phase service.,Rate Binder 3,,,,,,
9737,Weakley County Mun Elec Sys,20228,Commercial (<50kW),539fbe90ec4f024c27d887e9,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbe90ec4f024c27d887e9,Commercial,,ISU Archives,,,,,,
